-log10pvalue	-log10qvalue	rank	basepairs
54.12	48.29	3845	7
53.96	48.13	3852	5
53.94	48.11	3857	4
53.85	48.02	3861	5
53.83	48.00	3866	3
53.82	47.99	3869	1
53.80	47.97	3870	3
53.73	47.90	3873	1
53.58	47.75	3874	10
53.57	47.74	3884	62
53.50	47.68	3946	20
53.49	47.67	3966	12
53.48	47.66	3978	24
53.46	47.65	4002	2
53.41	47.60	4004	2
53.33	47.52	4006	22
53.32	47.51	4028	40
53.29	47.48	4068	1
53.27	47.46	4069	8
53.21	47.40	4077	33
53.16	47.36	4110	15
53.10	47.30	4125	26
53.00	47.20	4151	4
52.95	47.15	4155	13
52.83	47.03	4168	3
52.81	47.01	4171	5
52.77	46.97	4176	9
52.62	46.82	4185	10
52.61	46.82	4195	2
52.55	46.76	4197	44
52.54	46.75	4241	6
52.45	46.66	4247	7
52.36	46.57	4254	23
52.34	46.55	4277	2
52.28	46.49	4279	8
52.18	46.40	4287	5
52.14	46.36	4292	2
52.09	46.31	4294	3
52.06	46.28	4297	2
52.03	46.25	4299	4
51.99	46.21	4303	40
51.98	46.20	4343	7
51.97	46.19	4350	1
51.88	46.10	4351	1
51.86	46.08	4352	26
51.82	46.04	4378	11
51.77	46.00	4389	1
51.76	45.99	4390	32
51.69	45.92	4422	68
51.63	45.87	4490	7
51.62	45.86	4497	23
51.57	45.81	4520	48
51.56	45.80	4568	9
51.53	45.77	4577	19
51.35	45.60	4596	7
51.27	45.52	4603	11
51.21	45.46	4614	5
51.20	45.45	4619	2
51.13	45.38	4621	5
51.12	45.37	4626	33
51.08	45.33	4659	9
51.00	45.25	4668	1
50.99	45.24	4669	21
50.88	45.13	4690	20
50.76	45.02	4710	1
50.74	45.00	4711	11
50.69	44.95	4722	12
50.67	44.93	4734	17
50.62	44.88	4751	1
50.59	44.85	4752	11
50.57	44.83	4763	8
50.56	44.82	4771	1
50.54	44.80	4772	4
50.51	44.77	4776	12
50.45	44.71	4788	1
50.44	44.70	4789	1
50.28	44.54	4790	27
50.23	44.50	4817	29
50.21	44.48	4846	29
50.18	44.45	4875	4
50.16	44.43	4879	12
50.08	44.35	4891	26
50.04	44.31	4917	3
50.01	44.29	4920	5
49.97	44.25	4925	15
49.96	44.24	4940	13
49.95	44.23	4953	102
49.94	44.23	5055	5
49.88	44.17	5060	4
49.87	44.16	5064	1
49.78	44.07	5065	5
49.76	44.05	5070	5
49.74	44.03	5075	24
49.73	44.02	5099	16
49.65	43.94	5115	10
49.59	43.88	5125	2
49.48	43.77	5127	9
49.45	43.74	5136	4
49.44	43.73	5140	11
49.43	43.72	5151	5
49.41	43.71	5156	5
49.38	43.68	5161	1
49.37	43.67	5162	5
49.36	43.66	5167	3
49.22	43.52	5170	30
49.21	43.51	5200	16
49.11	43.41	5216	7
49.10	43.40	5223	6
49.04	43.34	5229	17
48.97	43.27	5246	26
48.89	43.20	5272	15
48.88	43.19	5287	50
48.87	43.18	5337	11
48.83	43.14	5348	8
48.77	43.08	5356	8
48.75	43.06	5364	2
48.74	43.05	5366	1
48.73	43.04	5367	1
48.72	43.03	5368	28
48.69	43.01	5396	7
48.61	42.93	5403	11
48.55	42.87	5414	7
48.54	42.86	5421	3
48.51	42.83	5424	14
48.50	42.82	5438	14
48.40	42.72	5452	7
48.38	42.70	5459	17
48.34	42.66	5476	51
48.33	42.66	5527	5
48.26	42.59	5532	6
48.21	42.54	5538	5
48.18	42.51	5543	82
48.17	42.50	5625	6
48.14	42.47	5631	13
48.07	42.40	5644	42
47.98	42.32	5686	4
47.97	42.31	5690	29
47.89	42.23	5719	19
47.85	42.19	5738	13
47.82	42.16	5751	2
47.80	42.14	5753	2
47.78	42.12	5755	5
47.71	42.05	5760	4
47.70	42.04	5764	2
47.66	42.00	5766	6
47.62	41.96	5772	5
47.61	41.95	5777	13
47.58	41.93	5790	18
47.55	41.90	5808	45
47.50	41.85	5853	21
47.49	41.84	5874	117
47.43	41.79	5991	5
47.42	41.78	5996	1
47.38	41.74	5997	23
47.22	41.58	6020	15
47.21	41.57	6035	1
47.20	41.56	6036	2
47.19	41.55	6038	10
47.15	41.51	6048	5
47.08	41.45	6053	5
47.07	41.44	6058	3
47.03	41.40	6061	1
47.00	41.37	6062	22
46.99	41.36	6084	1
46.91	41.28	6085	8
46.88	41.25	6093	46
46.83	41.20	6139	3
46.80	41.17	6142	11
46.79	41.16	6153	6
46.73	41.10	6159	75
46.71	41.09	6234	17
46.66	41.04	6251	8
46.63	41.01	6259	2
46.61	40.99	6261	54
46.60	40.98	6315	1
46.59	40.97	6316	1
46.43	40.81	6317	2
46.41	40.79	6319	49
46.39	40.78	6368	1
46.38	40.77	6369	29
46.36	40.75	6398	64
46.33	40.72	6462	10
46.29	40.68	6472	4
46.27	40.66	6476	19
46.24	40.64	6495	2
46.23	40.63	6497	15
46.21	40.61	6512	12
46.20	40.60	6524	12
46.14	40.54	6536	15
46.13	40.53	6551	38
46.11	40.51	6589	45
46.06	40.46	6634	8
45.91	40.32	6642	38
45.81	40.22	6680	33
45.73	40.14	6713	10
45.71	40.12	6723	3
45.68	40.09	6726	4
45.62	40.03	6730	20
45.60	40.01	6750	2
45.52	39.93	6752	5
45.45	39.86	6757	18
45.43	39.84	6775	1
45.42	39.83	6776	6
45.40	39.81	6782	54
45.26	39.68	6836	6
45.25	39.67	6842	4
45.24	39.66	6846	19
45.20	39.62	6865	6
45.18	39.60	6871	3
45.17	39.59	6874	1
45.16	39.58	6875	24
45.14	39.56	6899	115
45.06	39.49	7014	37
45.05	39.48	7051	6
45.04	39.47	7057	7
45.00	39.43	7064	9
44.98	39.41	7073	9
44.94	39.37	7082	8
44.89	39.32	7090	1
44.84	39.27	7091	37
44.74	39.18	7128	56
44.71	39.15	7184	37
44.70	39.14	7221	8
44.69	39.13	7229	24
44.67	39.11	7253	16
44.65	39.09	7269	60
44.62	39.07	7329	25
44.52	38.97	7354	1
44.45	38.90	7355	4
44.40	38.85	7359	6
44.39	38.84	7365	20
44.37	38.82	7385	28
44.36	38.81	7413	3
44.34	38.79	7416	4
44.30	38.75	7420	1
44.27	38.72	7421	31
44.25	38.71	7452	14
44.24	38.70	7466	53
44.21	38.67	7519	2
44.16	38.62	7521	3
44.05	38.51	7524	16
44.01	38.47	7540	5
44.00	38.46	7545	33
43.89	38.35	7578	10
43.87	38.33	7588	4
43.86	38.32	7592	4
43.81	38.27	7596	34
43.76	38.23	7630	6
43.75	38.22	7636	3
43.69	38.16	7639	13
43.68	38.15	7652	6
43.66	38.13	7658	4
43.65	38.12	7662	2
43.63	38.10	7664	4
43.62	38.09	7668	5
43.61	38.08	7673	12
43.56	38.03	7685	66
43.53	38.00	7751	2
43.51	37.98	7753	85
43.50	37.98	7838	6
43.43	37.91	7844	6
