-log10pvalue	-log10qvalue	rank	basepairs
29.98	24.89	21384	35
29.95	24.86	21419	17
29.91	24.82	21436	11
29.90	24.81	21447	266
29.88	24.80	21713	1
29.87	24.79	21714	72
29.86	24.78	21786	34
29.83	24.75	21820	41
29.81	24.73	21861	26
29.80	24.72	21887	22
29.75	24.67	21909	6
29.73	24.65	21915	12
29.72	24.64	21927	5
29.71	24.63	21932	13
29.68	24.60	21945	49
29.67	24.60	21994	9
29.66	24.59	22003	13
29.64	24.57	22016	17
29.63	24.56	22033	95
29.60	24.53	22128	26
29.57	24.50	22154	105
29.53	24.46	22259	22
29.52	24.45	22281	29
29.51	24.44	22310	12
29.48	24.41	22322	60
29.47	24.40	22382	215
29.43	24.37	22597	18
29.38	24.32	22615	5
29.37	24.31	22620	22
29.30	24.24	22642	25
29.29	24.23	22667	54
29.24	24.18	22721	13
29.22	24.16	22734	59
29.19	24.13	22793	1
29.17	24.11	22794	6
29.16	24.10	22800	32
29.13	24.07	22832	13
29.12	24.06	22845	57
29.11	24.05	22902	6
29.10	24.04	22908	26
29.08	24.02	22934	190
29.07	24.02	23124	1
29.06	24.01	23125	4
29.05	24.00	23129	36
29.00	23.95	23165	1
28.98	23.93	23166	29
28.97	23.92	23195	99
28.94	23.89	23294	28
28.92	23.87	23322	19
28.91	23.86	23341	1
28.88	23.83	23342	2
28.87	23.82	23344	15
28.86	23.81	23359	194
28.84	23.80	23553	6
28.83	23.79	23559	2
28.81	23.77	23561	13
28.80	23.76	23574	84
28.77	23.73	23658	9
28.76	23.72	23667	1
28.74	23.70	23668	10
28.72	23.68	23678	14
28.71	23.67	23692	149
28.68	23.64	23841	3
28.67	23.63	23844	3
28.66	23.62	23847	69
28.64	23.60	23916	51
28.62	23.58	23967	19
28.59	23.55	23986	106
28.57	23.53	24092	1
28.54	23.50	24093	6
28.52	23.49	24099	5
28.50	23.47	24104	77
28.46	23.43	24181	282
28.45	23.42	24463	23
28.38	23.35	24486	12
28.36	23.33	24498	19
28.35	23.32	24517	35
28.33	23.30	24552	32
28.31	23.28	24584	1
28.29	23.26	24585	11
28.28	23.25	24596	35
28.27	23.24	24631	61
28.22	23.20	24692	9
28.20	23.18	24701	56
28.18	23.16	24757	6
28.17	23.15	24763	3
28.15	23.13	24766	14
28.13	23.11	24780	3
28.12	23.10	24783	8
28.10	23.08	24791	5
28.09	23.07	24796	14
28.08	23.06	24810	19
28.06	23.04	24829	33
28.05	23.03	24862	38
27.97	22.95	24900	76
27.96	22.94	24976	6
27.95	22.93	24982	25
27.90	22.88	25007	60
27.87	22.85	25067	18
27.86	22.84	25085	382
27.85	22.84	25467	207
27.84	22.83	25674	13
27.82	22.81	25687	36
27.79	22.78	25723	3
27.77	22.76	25726	24
27.76	22.75	25750	50
27.72	22.71	25800	10
27.71	22.70	25810	139
27.68	22.68	25949	78
27.67	22.67	26027	2
27.64	22.64	26029	10
27.62	22.62	26039	31
27.61	22.61	26070	50
27.60	22.60	26120	27
27.56	22.56	26147	83
27.52	22.52	26230	34
27.49	22.49	26264	5
27.48	22.48	26269	121
27.47	22.47	26390	62
27.46	22.47	26452	11
27.44	22.45	26463	6
27.43	22.44	26469	15
27.38	22.39	26484	21
27.37	22.38	26505	16
27.33	22.34	26521	11
27.32	22.33	26532	53
27.31	22.32	26585	135
27.27	22.28	26720	97
27.25	22.26	26817	16
27.21	22.22	26833	3
27.20	22.21	26836	210
27.18	22.20	27046	1
27.17	22.19	27047	67
27.15	22.17	27114	6
27.14	22.16	27120	17
27.10	22.12	27137	35
27.07	22.09	27172	1
27.06	22.08	27173	67
27.03	22.05	27240	50
27.02	22.04	27290	862
26.98	22.01	28152	52
26.97	22.00	28204	1
26.94	21.97	28205	16
26.93	21.96	28221	59
26.92	21.95	28280	5
26.91	21.94	28285	1
26.89	21.92	28286	1
26.88	21.91	28287	44
26.87	21.91	28331	6
26.86	21.90	28337	24
26.84	21.88	28361	39
26.82	21.86	28400	8
26.80	21.84	28408	42
26.79	21.83	28450	8
26.78	21.82	28458	28
26.77	21.81	28486	39
26.75	21.79	28525	79
26.73	21.77	28604	20
26.70	21.74	28624	22
26.68	21.72	28646	2
26.67	21.71	28648	50
26.66	21.70	28698	191
26.63	21.67	28889	500
26.61	21.66	29389	7
26.60	21.65	29396	10
26.59	21.64	29406	28
26.58	21.63	29434	3
26.56	21.61	29437	20
26.54	21.59	29457	16
26.53	21.58	29473	120
26.48	21.53	29593	18
26.47	21.52	29611	13
26.46	21.51	29624	24
26.45	21.51	29648	7
26.44	21.50	29655	25
26.43	21.49	29680	2
26.42	21.48	29682	19
26.41	21.47	29701	32
26.37	21.43	29733	106
26.35	21.41	29839	11
26.31	21.37	29850	28
26.30	21.36	29878	15
26.29	21.35	29893	4
26.27	21.33	29897	449
26.24	21.31	30346	11
26.22	21.29	30357	5
26.18	21.25	30362	19
26.17	21.24	30381	24
26.16	21.23	30405	21
26.15	21.22	30426	28
26.14	21.21	30454	31
26.12	21.19	30485	116
26.08	21.15	30601	31
26.07	21.14	30632	18
26.06	21.13	30650	5
26.05	21.12	30655	21
26.04	21.11	30676	47
26.02	21.09	30723	10
26.01	21.08	30733	7
26.00	21.07	30740	5
25.98	21.05	30745	2
25.96	21.03	30747	3
25.95	21.02	30750	97
25.92	20.99	30847	348
25.88	20.96	31195	2
25.86	20.94	31197	13
25.81	20.89	31210	5
25.80	20.88	31215	14
25.79	20.87	31229	12
25.78	20.86	31241	79
25.77	20.85	31320	4
25.76	20.84	31324	10
25.75	20.83	31334	113
25.71	20.79	31447	221
25.68	20.76	31668	58
25.66	20.74	31726	71
25.65	20.74	31797	8
25.63	20.72	31805	14
25.61	20.70	31819	423
25.59	20.68	32242	35
25.57	20.66	32277	115
25.52	20.61	32392	90
25.47	20.56	32482	5
25.45	20.54	32487	18
25.44	20.54	32505	14
25.43	20.53	32519	31
25.42	20.52	32550	302
25.39	20.49	32852	18
25.37	20.47	32870	128
25.34	20.44	32998	35
25.31	20.41	33033	10
25.29	20.39	33043	31
25.28	20.38	33074	26
25.27	20.37	33100	54
25.24	20.34	33154	57
25.22	20.32	33211	21
25.20	20.30	33232	3
25.18	20.28	33235	1
25.16	20.26	33236	10
25.15	20.25	33246	38
25.14	20.25	33284	17
25.13	20.24	33301	15
25.11	20.22	33316	10
25.08	20.19	33326	6
25.07	20.18	33332	100
25.06	20.17	33432	89
25.02	20.13	33521	59
25.00	20.11	33580	61
24.99	20.10	33641	4
24.98	20.09	33645	11
24.91	20.02	33656	1
24.90	20.01	33657	70
24.89	20.00	33727	40
24.88	19.99	33767	17
24.86	19.97	33784	10
24.84	19.95	33794	3
24.83	19.94	33797	46
24.82	19.93	33843	131
24.81	19.92	33974	4
24.78	19.89	33978	262
24.75	19.87	34240	34
24.73	19.85	34274	14
24.72	19.84	34288	5
24.71	19.83	34293	249
24.69	19.81	34542	43
24.67	19.79	34585	32
24.66	19.78	34617	4
24.62	19.74	34621	36
24.61	19.73	34657	29
24.58	19.70	34686	159
24.57	19.70	34845	94
24.55	19.68	34939	162
24.54	19.67	35101	7
24.52	19.65	35108	70
24.46	19.59	35178	15
24.45	19.58	35193	130
24.43	19.56	35323	21
24.42	19.55	35344	65
24.40	19.53	35409	91
24.37	19.50	35500	95
24.36	19.49	35595	18
24.35	19.48	35613	15
24.32	19.45	35628	19
24.29	19.43	35647	5
24.28	19.42	35652	4
24.27	19.41	35656	79
24.26	19.40	35735	169
24.25	19.39	35904	1
24.23	19.37	35905	371
24.22	19.36	36276	1
24.21	19.35	36277	466
24.18	19.33	36743	9
24.17	19.32	36752	1
24.15	19.30	36753	32
24.14	19.29	36785	5
24.13	19.28	36790	47
24.12	19.27	36837	13
24.11	19.26	36850	22
24.10	19.25	36872	1
24.09	19.24	36873	83
24.06	19.21	36956	1
24.05	19.20	36957	4
24.01	19.16	36961	61
24.00	19.15	37022	31
23.99	19.14	37053	38
23.96	19.11	37091	27
23.95	19.10	37118	25
23.91	19.06	37143	16
23.88	19.03	37159	27
23.86	19.01	37186	72
23.84	18.99	37258	2
23.82	18.97	37260	4
23.81	18.96	37264	65
23.76	18.92	37329	170
23.73	18.89	37499	5
23.72	18.88	37504	42
23.69	18.85	37546	8
23.67	18.83	37554	48
23.66	18.82	37602	13
23.65	18.81	37615	23
23.64	18.80	37638	8
23.60	18.76	37646	93
23.56	18.72	37739	41
23.55	18.71	37780	25
23.53	18.69	37805	97
23.52	18.68	37902	68
23.51	18.67	37970	89
23.50	18.66	38059	12
23.47	18.63	38071	79
23.46	18.62	38150	239
23.44	18.61	38389	1
23.42	18.59	38390	32
23.39	18.56	38422	56
23.38	18.55	38478	44
23.37	18.54	38522	4
23.35	18.52	38526	50
23.32	18.49	38576	3
23.31	18.48	38579	10
23.28	18.45	38589	31
23.25	18.42	38620	41
23.24	18.41	38661	166
23.23	18.40	38827	9
23.20	18.37	38836	123
23.19	18.36	38959	245
23.18	18.36	39204	1
23.17	18.35	39205	12
23.16	18.34	39217	303
23.15	18.33	39520	32
23.10	18.28	39552	28
23.08	18.26	39580	57
23.06	18.24	39637	852
23.05	18.24	40489	10
23.03	18.22	40499	15
23.01	18.20	40514	7
23.00	18.19	40521	15
22.98	18.17	40536	155
22.97	18.16	40691	6
22.95	18.14	40697	5
22.93	18.12	40702	47
22.89	18.08	40749	9
22.87	18.06	40758	27
22.86	18.05	40785	123
22.85	18.04	40908	21
22.84	18.04	40929	181
22.83	18.03	41110	756
22.81	18.01	41866	28
22.78	17.99	41894	102
22.76	17.97	41996	10
22.75	17.96	42006	27
22.74	17.95	42033	14
22.72	17.93	42047	8
22.71	17.92	42055	46
22.70	17.91	42101	4
22.66	17.87	42105	46
22.65	17.86	42151	27
22.64	17.85	42178	31
22.63	17.84	42209	14
22.62	17.83	42223	2
22.59	17.80	42225	2
22.58	17.79	42227	42
22.57	17.78	42269	8
22.56	17.77	42277	12
22.55	17.76	42289	70
22.53	17.74	42359	56
22.52	17.73	42415	30
22.50	17.71	42445	25
22.48	17.69	42470	7
22.47	17.68	42477	106
22.46	17.67	42583	55
22.45	17.66	42638	24
22.40	17.61	42662	10
22.39	17.60	42672	28
22.38	17.59	42700	36
22.37	17.58	42736	5
22.36	17.57	42741	47
22.35	17.56	42788	47
22.34	17.55	42835	5
22.33	17.54	42840	38
22.31	17.53	42878	25
22.29	17.51	42903	32
22.25	17.47	42935	22
22.22	17.44	42957	44
22.21	17.43	43001	37
22.20	17.42	43038	45
22.18	17.40	43083	11
22.15	17.37	43094	197
22.13	17.35	43291	7
22.11	17.33	43298	8
22.08	17.30	43306	103
22.07	17.29	43409	54
22.06	17.28	43463	40
22.05	17.27	43503	11
22.03	17.25	43514	4
22.02	17.24	43518	21
21.97	17.19	43539	213
21.96	17.18	43752	33
21.95	17.17	43785	9
21.91	17.13	43794	37
21.89	17.11	43831	448
21.86	17.09	44279	298
21.85	17.08	44577	22
21.84	17.07	44599	50
21.81	17.04	44649	71
21.76	16.99	44720	24
21.75	16.98	44744	14
21.73	16.96	44758	12
21.68	16.91	44770	37
21.66	16.89	44807	11
21.65	16.88	44818	27
21.63	16.86	44845	705
21.62	16.86	45550	2
21.61	16.85	45552	281
21.58	16.82	45833	225
21.57	16.82	46058	7
21.56	16.81	46065	10
21.55	16.80	46075	21
21.54	16.79	46096	1
21.51	16.76	46097	31
21.50	16.75	46128	22
21.49	16.74	46150	9
21.47	16.72	46159	1377
21.44	16.70	47536	2
21.43	16.69	47538	192
21.41	16.67	47730	225
21.39	16.65	47955	149
21.35	16.62	48104	228
21.34	16.61	48332	25
21.33	16.60	48357	137
21.31	16.58	48494	34
21.30	16.57	48528	21
21.28	16.55	48549	56
21.24	16.51	48605	25
21.21	16.48	48630	113
21.19	16.46	48743	183
21.18	16.45	48926	13
21.17	16.44	48939	42
21.16	16.43	48981	47
21.14	16.41	49028	27
21.13	16.40	49055	1
21.12	16.39	49056	1
21.10	16.37	49057	17
21.08	16.35	49074	5
21.06	16.33	49079	97
21.05	16.32	49176	52
21.04	16.32	49228	86
21.03	16.31	49314	1
21.02	16.30	49315	2
21.01	16.29	49317	5
21.00	16.28	49322	4
20.95	16.23	49326	128
20.94	16.22	49454	21
20.92	16.20	49475	33
20.88	16.16	49508	53
20.87	16.15	49561	1
20.86	16.14	49562	214
20.85	16.13	49776	44
20.83	16.11	49820	10
20.79	16.07	49830	66
20.77	16.05	49896	50
20.76	16.04	49946	164
20.75	16.03	50110	483
20.74	16.03	50593	100
20.71	16.00	50693	35
20.67	15.96	50728	1
20.66	15.95	50729	43
20.64	15.93	50772	49
20.63	15.92	50821	124
20.61	15.90	50945	4
20.60	15.89	50949	38
20.59	15.88	50987	75
20.58	15.87	51062	13
20.56	15.85	51075	1
20.55	15.84	51076	1
20.54	15.83	51077	565
20.53	15.83	51642	16
20.51	15.81	51658	8
20.48	15.78	51666	58
20.46	15.76	51724	46
20.45	15.75	51770	60
20.44	15.74	51830	23
20.41	15.71	51853	15
20.39	15.69	51868	5
20.38	15.68	51873	138
20.37	15.67	52011	27
20.35	15.65	52038	156
20.34	15.64	52194	108
20.30	15.60	52302	98
20.28	15.58	52400	56
20.27	15.57	52456	30
20.26	15.56	52486	260
20.23	15.54	52746	35
20.21	15.52	52781	3
20.19	15.50	52784	29
20.17	15.48	52813	108
20.16	15.47	52921	18
20.14	15.45	52939	68
20.13	15.44	53007	5
20.12	15.43	53012	1162
20.07	15.39	54174	8
20.05	15.37	54182	158
20.04	15.36	54340	199
20.03	15.35	54539	66
20.02	15.34	54605	8
20.01	15.33	54613	134
20.00	15.32	54747	1
19.98	15.30	54748	1
19.96	15.28	54749	186
19.95	15.27	54935	50
19.94	15.26	54985	48
19.92	15.24	55033	26
19.89	15.21	55059	348
19.87	15.20	55407	9
19.86	15.19	55416	192
19.84	15.17	55608	26
19.80	15.13	55634	22
19.79	15.12	55656	8
19.78	15.11	55664	24
19.77	15.10	55688	80
19.76	15.09	55768	92
19.73	15.06	55860	1
19.71	15.04	55861	10
19.70	15.03	55871	2
19.69	15.02	55873	15
19.68	15.01	55888	68
19.67	15.00	55956	86
19.64	14.97	56042	105
19.63	14.96	56147	63
19.62	14.95	56210	6
19.61	14.94	56216	1065
19.57	14.91	57281	769
19.55	14.90	58050	33
19.54	14.89	58083	27
19.53	14.88	58110	35
19.51	14.86	58145	87
19.50	14.85	58232	1
19.48	14.83	58233	57
19.47	14.82	58290	15
19.43	14.78	58305	21
19.42	14.77	58326	47
19.41	14.76	58373	1
19.39	14.74	58374	8
19.38	14.73	58382	72
19.37	14.72	58454	114
19.36	14.71	58568	52
19.35	14.70	58620	1
19.34	14.69	58621	34
19.32	14.67	58655	33
19.30	14.65	58688	20
19.29	14.64	58708	9
19.28	14.63	58717	7
19.27	14.62	58724	1
19.26	14.61	58725	86
19.25	14.60	58811	15
19.23	14.58	58826	324
19.22	14.58	59150	8
19.14	14.50	59158	358
19.12	14.48	59516	3
19.07	14.43	59519	7
19.05	14.41	59526	115
19.04	14.40	59641	21
19.03	14.39	59662	1
19.02	14.38	59663	64
19.00	14.36	59727	16
18.98	14.34	59743	13
18.96	14.32	59756	36
18.93	14.29	59792	286
18.91	14.27	60078	5
18.89	14.25	60083	175
18.87	14.23	60258	59
18.86	14.22	60317	31
18.84	14.20	60348	46
18.82	14.18	60394	45
18.80	14.16	60439	793
18.79	14.16	61232	96
18.77	14.14	61328	19
18.75	14.12	61347	71
18.73	14.10	61418	95
18.72	14.09	61513	402
18.71	14.08	61915	2
18.68	14.05	61917	23
18.67	14.05	61940	429
18.66	14.04	62369	25
18.64	14.02	62394	545
18.63	14.01	62939	73
18.62	14.00	63012	8
18.61	13.99	63020	36
18.59	13.97	63056	46
18.55	13.93	63102	180
18.54	13.92	63282	89
18.53	13.91	63371	29
18.52	13.91	63400	15
18.51	13.90	63415	2
18.50	13.89	63417	766
18.48	13.87	64183	150
18.46	13.85	64333	1
18.45	13.84	64334	95
18.43	13.82	64429	18
18.42	13.81	64447	68
18.39	13.78	64515	382
18.37	13.77	64897	377
18.36	13.76	65274	43
18.34	13.74	65317	140
18.32	13.72	65457	272
18.25	13.65	65729	8
18.23	13.63	65737	255
18.18	13.58	65992	46
18.17	13.57	66038	8
18.14	13.54	66046	49
18.13	13.53	66095	94
18.12	13.52	66189	44
18.11	13.51	66233	50
18.09	13.49	66283	18
18.07	13.47	66301	13
18.05	13.45	66314	57
18.03	13.44	66371	103
18.02	13.43	66474	7
18.01	13.42	66481	1
18.00	13.41	66482	99
17.98	13.39	66581	44
17.96	13.37	66625	319
17.95	13.36	66944	2
17.94	13.35	66946	310
17.92	13.33	67256	166
17.91	13.32	67422	20
17.88	13.29	67442	69
17.87	13.28	67511	33
17.84	13.25	67544	189
17.82	13.23	67733	75
17.80	13.21	67808	23
17.78	13.19	67831	21
17.77	13.18	67852	13
17.75	13.16	67865	4
17.72	13.13	67869	52
17.71	13.13	67921	14
17.70	13.12	67935	56
17.69	13.11	67991	50
17.68	13.10	68041	19
17.67	13.09	68060	7
17.66	13.08	68067	86
17.64	13.06	68153	69
17.62	13.04	68222	542
17.60	13.02	68764	14
17.59	13.01	68778	41
17.57	12.99	68819	6
17.55	12.97	68825	56
17.53	12.95	68881	61
17.52	12.94	68942	24
17.51	12.93	68966	201
17.50	12.92	69167	2104
17.48	12.92	71271	47
17.47	12.91	71318	22
17.46	12.90	71340	52
17.44	12.88	71392	53
17.43	12.87	71445	270
17.39	12.83	71715	866
17.38	12.82	72581	251
17.36	12.81	72832	1
17.35	12.80	72833	71
17.34	12.79	72904	220
17.32	12.77	73124	216
17.28	12.73	73340	27
17.26	12.71	73367	59
17.23	12.68	73426	368
17.22	12.67	73794	127
17.21	12.66	73921	44
17.18	12.63	73965	1355
17.16	12.62	75320	21
17.14	12.60	75341	41
17.13	12.59	75382	19
17.12	12.58	75401	58
17.11	12.57	75459	1
17.10	12.56	75460	381
17.09	12.55	75841	78
17.07	12.53	75919	5
17.05	12.51	75924	116
17.03	12.49	76040	20
17.02	12.48	76060	61
17.01	12.47	76121	40
16.98	12.44	76161	54
16.97	12.44	76215	123
16.95	12.42	76338	461
16.93	12.40	76799	101
16.92	12.39	76900	47
16.91	12.38	76947	8
16.88	12.35	76955	75
16.86	12.33	77030	65
16.85	12.32	77095	49
16.84	12.31	77144	3
16.82	12.29	77147	92
16.80	12.27	77239	25
16.79	12.26	77264	77
16.78	12.25	77341	33
16.77	12.24	77374	139
16.75	12.22	77513	49
16.73	12.20	77562	2
16.72	12.19	77564	29
16.70	12.17	77593	733
16.69	12.17	78326	129
16.64	12.12	78455	87
16.63	12.11	78542	5
16.62	12.10	78547	143
16.60	12.08	78690	4
16.57	12.05	78694	173
16.55	12.03	78867	56
16.54	12.02	78923	14
16.53	12.01	78937	124
16.52	12.00	79061	15
16.50	11.98	79076	2
16.48	11.96	79078	14
16.47	11.95	79092	30
16.46	11.94	79122	3
16.45	11.93	79125	115
16.44	11.92	79240	82
16.43	11.91	79322	61
16.42	11.90	79383	20
16.41	11.89	79403	299
16.39	11.87	79702	9
16.36	11.84	79711	76
16.34	11.83	79787	295
16.32	11.81	80082	1089
16.30	11.79	81171	123
16.29	11.78	81294	9
16.28	11.77	81303	76
16.25	11.74	81379	9
16.23	11.72	81388	18
16.22	11.71	81406	1309
16.21	11.71	82715	52
16.20	11.70	82767	56
16.19	11.69	82823	86
16.17	11.67	82909	1
16.14	11.64	82910	132
16.12	11.62	83042	136
16.11	11.61	83178	69
16.10	11.60	83247	49
16.09	11.59	83296	196
16.07	11.57	83492	58
16.05	11.56	83550	54
16.04	11.55	83604	199
16.03	11.54	83803	54
16.02	11.53	83857	25
16.01	11.52	83882	234
15.98	11.49	84116	70
15.96	11.47	84186	334
15.92	11.43	84520	20
15.91	11.42	84540	132
15.90	11.41	84672	7
15.89	11.40	84679	35
15.88	11.39	84714	958
15.84	11.36	85672	105
15.82	11.34	85777	6
15.81	11.33	85783	118
15.80	11.32	85901	95
15.79	11.31	85996	1
15.77	11.29	85997	5
15.75	11.27	86002	955
15.74	11.26	86957	6
15.73	11.25	86963	567
15.72	11.25	87530	92
15.71	11.24	87622	61
15.68	11.21	87683	10
15.66	11.19	87693	30
15.65	11.18	87723	86
15.63	11.16	87809	28
15.62	11.15	87837	205
15.61	11.14	88042	213
15.59	11.12	88255	12
15.58	11.11	88267	37
15.56	11.09	88304	18
15.55	11.08	88322	68
15.53	11.06	88390	232
15.52	11.05	88622	126
15.51	11.04	88748	53
15.48	11.01	88801	3
15.47	11.00	88804	393
15.46	10.99	89197	125
15.45	10.98	89322	662
15.43	10.97	89984	141
15.42	10.96	90125	1
15.41	10.95	90126	161
15.40	10.94	90287	99
15.39	10.93	90386	131
15.36	10.90	90517	36
15.35	10.89	90553	11
15.34	10.88	90564	114
15.31	10.85	90678	17
15.30	10.84	90695	279
15.29	10.83	90974	128
15.28	10.82	91102	4
15.26	10.80	91106	2403
15.25	10.80	93509	60
15.23	10.78	93569	54
15.22	10.77	93623	22
15.20	10.75	93645	234
15.17	10.73	93879	35
15.16	10.72	93914	217
15.15	10.71	94131	604
15.13	10.69	94735	11
15.12	10.68	94746	2
15.10	10.66	94748	34
15.09	10.65	94782	1
15.08	10.64	94783	26
15.07	10.63	94809	362
15.05	10.61	95171	25
15.04	10.60	95196	1
15.03	10.59	95197	6
15.01	10.57	95203	4
15.00	10.56	95207	211
14.99	10.55	95418	132
14.98	10.54	95550	2
14.97	10.53	95552	208
14.96	10.52	95760	1289
14.94	10.51	97049	69
14.92	10.49	97118	55
14.91	10.48	97173	8
14.90	10.47	97181	280
14.89	10.46	97461	98
14.87	10.44	97559	352
14.85	10.42	97911	2
14.84	10.41	97913	59
14.83	10.40	97972	66
14.82	10.39	98038	78
14.81	10.38	98116	185
14.77	10.35	98301	41
14.75	10.33	98342	1
14.73	10.31	98343	123
14.72	10.30	98466	1
14.71	10.29	98467	813
14.69	10.27	99280	542
14.67	10.25	99822	14
14.66	10.24	99836	1
14.65	10.23	99837	19
14.62	10.20	99856	265
14.61	10.19	100121	70
14.58	10.16	100191	1
14.57	10.15	100192	28
14.55	10.13	100220	46
14.54	10.12	100266	37
14.53	10.11	100303	143
14.51	10.10	100446	414
14.50	10.09	100860	83
14.49	10.08	100943	105
14.48	10.07	101048	501
14.47	10.06	101549	1
14.44	10.03	101550	174
14.42	10.01	101724	31
14.41	10.00	101755	45
14.40	9.99	101800	351
14.38	9.97	102151	129
14.37	9.96	102280	106
14.35	9.94	102386	1456
14.34	9.94	103842	21
14.33	9.93	103863	40
14.31	9.91	103903	1
14.30	9.90	103904	93
14.29	9.89	103997	169
14.28	9.88	104166	4
14.27	9.87	104170	14
14.26	9.86	104184	184
14.25	9.85	104368	532
14.23	9.83	104900	32
14.21	9.81	104932	1452
14.20	9.81	106384	18
14.19	9.80	106402	87
14.18	9.79	106489	99
14.17	9.78	106588	276
14.15	9.76	106864	319
14.13	9.74	107183	48
14.11	9.72	107231	2
14.10	9.71	107233	30
14.09	9.70	107263	71
14.08	9.69	107334	199
14.07	9.68	107533	1
14.06	9.67	107534	13
14.05	9.66	107547	7
14.04	9.65	107554	5
14.03	9.64	107559	98
14.01	9.63	107657	4
14.00	9.62	107661	564
13.95	9.57	108225	95
13.93	9.55	108320	19
13.92	9.54	108339	187
13.91	9.53	108526	172
13.90	9.52	108698	143
13.88	9.50	108841	47
13.87	9.49	108888	505
13.86	9.48	109393	1
13.85	9.47	109394	105
13.83	9.45	109499	1111
13.81	9.44	110610	226
13.80	9.43	110836	73
13.78	9.41	110909	12
13.77	9.40	110921	5
13.75	9.38	110926	233
13.74	9.37	111159	131
13.73	9.36	111290	3345
13.71	9.35	114635	139
13.70	9.34	114774	61
13.68	9.32	114835	27
13.67	9.31	114862	336
13.62	9.26	115198	95
13.60	9.24	115293	97
13.59	9.24	115390	701
13.55	9.20	116091	101
13.54	9.19	116192	2
13.53	9.18	116194	586
13.52	9.17	116780	87
13.49	9.14	116867	56
13.48	9.13	116923	2
13.47	9.12	116925	35
13.46	9.11	116960	123
13.45	9.10	117083	126
13.44	9.09	117209	558
13.43	9.08	117767	3
13.42	9.07	117770	6
13.39	9.04	117776	69
13.38	9.03	117845	151
13.37	9.02	117996	403
13.36	9.02	118399	238
13.35	9.01	118637	65
13.32	8.98	118702	197
13.31	8.97	118899	442
13.29	8.95	119341	144
13.28	8.94	119485	103
13.27	8.93	119588	76
13.26	8.92	119664	16
13.25	8.91	119680	3
13.21	8.87	119683	107
13.20	8.86	119790	2
13.19	8.85	119792	1585
13.18	8.85	121377	128
13.15	8.82	121505	1
13.14	8.81	121506	135
13.13	8.80	121641	23
13.10	8.77	121664	87
13.09	8.76	121751	372
13.08	8.75	122123	13
13.07	8.74	122136	1274
13.06	8.73	123410	12
13.05	8.72	123422	19
13.04	8.71	123441	22
13.03	8.70	123463	8
13.02	8.69	123471	88
13.01	8.68	123559	14
13.00	8.68	123573	56
12.99	8.67	123629	330
12.97	8.65	123959	3012
12.96	8.65	126971	9
12.95	8.64	126980	3
12.94	8.63	126983	106
12.93	8.62	127089	59
12.92	8.61	127148	123
12.90	8.59	127271	423
12.89	8.58	127694	3
12.87	8.56	127697	311
12.86	8.55	128008	143
12.85	8.54	128151	157
12.84	8.53	128308	125
12.83	8.52	128433	9
12.81	8.50	128442	25
12.80	8.49	128467	105
12.79	8.48	128572	1266
12.78	8.48	129838	297
12.77	8.47	130135	102
12.76	8.46	130237	16
12.75	8.45	130253	16
12.74	8.44	130269	28
12.73	8.43	130297	5
12.72	8.42	130302	99
12.71	8.41	130401	72
12.70	8.40	130473	117
12.69	8.39	130590	11
12.68	8.38	130601	646
12.66	8.36	131247	23
12.65	8.35	131270	235
12.63	8.33	131505	43
12.62	8.32	131548	1016
12.58	8.29	132564	488
12.57	8.28	133052	21
12.55	8.26	133073	218
12.54	8.25	133291	39
12.52	8.23	133330	2093
12.51	8.22	135423	153
12.47	8.19	135576	368
12.45	8.17	135944	281
12.43	8.15	136225	2
12.40	8.12	136227	320
12.39	8.11	136547	4
12.38	8.10	136551	1545
12.37	8.09	138096	243
12.34	8.06	138339	2
12.33	8.05	138341	4
12.32	8.04	138345	321
12.31	8.04	138666	302
12.29	8.02	138968	5
12.28	8.01	138973	411
12.27	8.00	139384	74
12.26	7.99	139458	302
12.25	7.98	139760	83
12.24	7.97	139843	2
12.23	7.96	139845	1
12.22	7.95	139846	6
12.21	7.94	139852	1
12.20	7.93	139853	576
12.19	7.92	140429	3865
12.18	7.92	144294	330
12.17	7.91	144624	12
12.14	7.88	144636	1
12.13	7.87	144637	57
12.12	7.86	144694	99
12.11	7.85	144793	88
12.10	7.84	144881	3
12.08	7.82	144884	300
12.07	7.82	145184	146
12.06	7.81	145330	7
12.04	7.79	145337	320
12.02	7.77	145657	16
12.01	7.76	145673	38
12.00	7.75	145711	44
11.99	7.74	145755	340
11.98	7.73	146095	82
11.97	7.72	146177	101
11.96	7.71	146278	106
11.95	7.70	146384	40
11.94	7.69	146424	3
11.93	7.68	146427	15
11.92	7.67	146442	11
11.91	7.66	146453	6
11.90	7.65	146459	1097
11.89	7.64	147556	118
11.88	7.63	147674	131
11.86	7.61	147805	218
11.84	7.59	148023	147
11.83	7.58	148170	20
11.81	7.56	148190	1243
11.80	7.56	149433	1445
11.79	7.55	150878	3
11.78	7.54	150881	183
11.77	7.53	151064	1251
11.75	7.52	152315	15
11.74	7.51	152330	304
11.73	7.50	152634	100
11.72	7.49	152734	329
11.71	7.48	153063	174
11.69	7.46	153237	25
11.66	7.43	153262	110
11.65	7.42	153372	134
11.64	7.41	153506	110
11.63	7.40	153616	2592
11.60	7.38	156208	41
11.59	7.37	156249	42
11.58	7.36	156291	252
11.56	7.34	156543	228
11.55	7.33	156771	299
